lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,micro@P,micro@R,micro@F1,macro@P,macro@R,macro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_micro@P,val_micro@R,val_micro@F1,val_macro@P,val_macro@R,val_macro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss
1.719298245614035e-05,1.719298245614035e-05,0.0017192982456140352,0.00017192982456140353,0.00017192982456140353,0.00017192982456140353,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,49,0.9946160316467285,0.9954622983932495,0.9950389862060547,0.9890590906143188,0.9933234453201294,0.9911805987358093,0.9957458972930908,0.9948993921279907,0.9953224658966064,3526.0,3511.0,3529.0,0.1457042694091797,0,,,,,,,,,,,,,
1.9852450377656775e-05,1.9852450377656775e-05,0.0019852450377656774,0.00019852450377656772,0.00019852450377656772,0.00019852450377656772,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,99,0.9917891025543213,0.9932198524475098,0.9925039410591125,0.9867638945579529,0.9901989102363586,0.9884766340255737,0.9939411282539368,0.9925093650817871,0.9932247400283813,6932.0,6890.0,6942.0,0.11094141006469727,0,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,0.9899176359176636,0.9921133518218994,0.991014301776886,0.986243724822998,0.9900939464569092,0.9881638288497925,0.9928527474403381,0.9906553626060486,0.9917528033256531,8115.0,8057.0,8133.0,10.929258346557617
,,,,,,1,,,,,,,,,,,,,,,0.9887846112251282,0.9915648102760315,0.9901727437973022,0.9852648377418518,0.9897107481956482,0.9874809980392456,0.9924205541610718,0.9896379113197327,0.991027295589447,8180.0,8118.0,8203.0,7.49421501159668
,,,,,,2,,,,,,,,,,,,,,,0.9883777499198914,0.99101722240448,0.9896957278251648,0.9848819971084595,0.9893549680709839,0.9871109127998352,0.9919883608818054,0.9893462657928467,0.9906655550003052,8238.0,8172.0,8260.0,3.4285573959350586
,,,,,,3,,,,,,,,,,,,,,,0.9874160885810852,0.990859866142273,0.9891350269317627,0.9822617173194885,0.989203929901123,0.9857150316238403,0.9918220043182373,0.9883748888969421,0.9900954365730286,8315.0,8247.0,8344.0,5.092962265014648
,,,,,,4,,,,,,,,,,,,,,,0.9866872429847717,0.9903364181518555,0.9885084629058838,0.9815049767494202,0.9888352155685425,0.9851495027542114,0.99164879322052,0.9879947900772095,0.9898183941841125,8382.0,8312.0,8413.0,6.959468841552734
,,,,,,5,,,,,,,,,,,,,,,0.9864274859428406,0.9901670217514038,0.9882937073707581,0.9813363552093506,0.9886406064033508,0.9849686622619629,0.9917071461677551,0.9879617691040039,0.9898309111595154,8441.0,8371.0,8473.0,3.5498790740966797
,,,,,,6,,,,,,,,,,,,,,,0.9852717518806458,0.9897839426994324,0.9875227212905884,0.980169951915741,0.9882097840309143,0.984166145324707,0.9913104772567749,0.9867913722991943,0.9890457391738892,8516.0,8442.0,8555.0,14.553996086120605
,,,,,,7,,,,,,,,,,,,,,,0.984226405620575,0.9891595840454102,0.9866868257522583,0.9792381525039673,0.9878073334693909,0.9834946990013123,0.9910246133804321,0.986082136631012,0.9885472059249878,8579.0,8502.0,8622.0,9.888092041015625
,,,,,,8,,,,,,,,,,,,,,,0.9830041527748108,0.988452672958374,0.9857208728790283,0.978434145450592,0.9854480624198914,0.9819201231002808,0.9906466603279114,0.9851860404014587,0.9879087805747986,8660.0,8579.0,8708.0,6.50922966003418
,,,,,,9,,,,,,,,,,,,,,,0.9827763438224792,0.9876203536987305,0.9851923584938049,0.9768741726875305,0.9816588759422302,0.9792501330375671,0.9899128675460815,0.9850575923919678,0.9874792695045471,8724.0,8636.0,8767.0,3.9529056549072266
,,,,,,10,,,,,,,,,,,,,,,0.9824541807174683,0.9872596859931946,0.984851062297821,0.9766509532928467,0.981499433517456,0.9790574908256531,0.9896485209465027,0.9848313331604004,0.9872340559959412,8791.0,8700.0,8834.0,5.597444534301758
,,,,,,11,,,,,,,,,,,,,,,0.9812486171722412,0.9867886304855347,0.9840108156204224,0.9758546352386475,0.9811611771583557,0.9784888029098511,0.989159882068634,0.9836065769195557,0.9863753914833069,8856.0,8760.0,8906.0,12.240815162658691
,,,,,,12,,,,,,,,,,,,,,,0.980758547782898,0.9865741729736328,0.9836577773094177,0.9754566550254822,0.9810500741004944,0.9782319664955139,0.9889236688613892,0.9830942153930664,0.9860003590583801,8938.0,8839.0,8991.0,6.627529144287109
,,,,,,13,,,,,,,,,,,,,,,0.9799470901489258,0.9861403703689575,0.9830340147018433,0.9747669100761414,0.9808499813079834,0.9777818322181702,0.9885796904563904,0.9823710918426514,0.9854655861854553,9019.0,8916.0,9076.0,4.334315299987793
,,,,,,14,,,,,,,,,,,,,,,0.9793080687522888,0.9855663180351257,0.9824272394180298,0.9741706848144531,0.9803578853607178,0.9772362112998962,0.9881004691123962,0.98182612657547,0.9849533438682556,9076.0,8968.0,9134.0,7.3307905197143555
,,,,,,15,,,,,,,,,,,,,,,0.9788296818733215,0.9853551983833313,0.9820815920829773,0.9739179015159607,0.9801648855209351,0.9770146608352661,0.9878688454627991,0.981326699256897,0.9845868945121765,9150.0,9039.0,9211.0,5.513679504394531
,,,,,,16,,,,,,,,,,,,,,,0.9776344299316406,0.9845154285430908,0.9810628294944763,0.9684358835220337,0.9794194102287292,0.973886251449585,0.9875473976135254,0.9806451797485352,0.9840841889381409,9235.0,9120.0,9300.0,7.951224327087402
,,,,,,17,,,,,,,,,,,,,,,0.976538360118866,0.9842003583908081,0.980354368686676,0.9658787250518799,0.977573573589325,0.9716783165931702,0.9872097969055176,0.9795243740081787,0.9833520650863647,9304.0,9185.0,9377.0,6.941275119781494
,,,,,,18,,,,,,,,,,,,,,,0.9757595062255859,0.9836730360984802,0.9797002673149109,0.9653725028038025,0.9757442474365234,0.970517098903656,0.9867677092552185,0.9788292646408081,0.9827824234962463,9371.0,9247.0,9447.0,6.953306674957275
,,,,,,19,,,,,,,,,,,,,,,0.9750867486000061,0.9831478595733643,0.9791007041931152,0.9647413492202759,0.9752911925315857,0.9699724912643433,0.9862214922904968,0.9781351685523987,0.9821617007255554,9435.0,9305.0,9513.0,6.996880054473877
